gene,ENSEMBL,chr,gene_biotype
HTN3,ENSG00000205649,4,protein-coding
HTN1,ENSG00000126550,4,protein-coding
PRR27,ENSG00000187533,4,protein-coding
ODAM,ENSG00000109205,4,protein-coding
FDCSP,ENSG00000181617,4,protein-coding
CSN3,ENSG00000171209,4,protein-coding
CABS1,ENSG00000145309,4,protein-coding
SMR3A,ENSG00000109208,4,protein-coding
SMR3B,ENSG00000171201,4,protein-coding
OPRPN,ENSG00000171199,4,protein-coding
MUC7,ENSG00000171195,4,protein-coding
AMTN,ENSG00000187689,4,protein-coding
AMBN,ENSG00000178522,4,protein-coding
ENAM,ENSG00000132464,4,protein-coding
JCHAIN,ENSG00000132465,4,protein-coding
UTP3,ENSG00000132467,4,protein-coding
RNU6-520P,ENSG00000207448,4,pseudo
RNU6-784P,ENSG00000207058,4,pseudo
RUFY3,ENSG00000018189,4,protein-coding
GRSF1,ENSG00000132463,4,protein-coding
LOC124900887,ENSG00000283313,4,snRNA
RNU6-891P,ENSG00000207007,4,pseudo
MOB1B,ENSG00000173542,4,protein-coding
DCK,ENSG00000156136,4,protein-coding
SLC4A4,ENSG00000080493,4,protein-coding
LOC107986208,ENSG00000249170,4,pseudo
GC,ENSG00000145321,4,protein-coding
RNA5SP163,ENSG00000222236,4,pseudo
NPFFR2,ENSG00000056291,4,protein-coding
ADAMTS3,ENSG00000156140,4,protein-coding
RNU4ATAC9P,ENSG00000252955,4,pseudo
RNU6ATAC5P,ENSG00000210839,4,pseudo
COX18,ENSG00000163626,4,protein-coding
ANKRD17,ENSG00000132466,4,protein-coding
ANKRD17-DT,ENSG00000250220,4,ncRNA
LOC124900180,ENSG00000221639,4,snoRNA
ALB,ENSG00000163631,4,protein-coding
AFP,ENSG00000081051,4,protein-coding
AFM,ENSG00000079557,4,protein-coding
LINC02499,ENSG00000250436,4,ncRNA
RASSF6,ENSG00000169435,4,protein-coding
UMLILO,ENSG00000228277,4,ncRNA
CXCL8,ENSG00000169429,4,protein-coding
CXCL6,ENSG00000124875,4,protein-coding
PF4V1,ENSG00000109272,4,protein-coding
CXCL1,ENSG00000163739,4,protein-coding
PF4,ENSG00000163737,4,protein-coding
PPBP,ENSG00000163736,4,protein-coding
CXCL5,ENSG00000163735,4,protein-coding
RN7SL218P,ENSG00000244194,4,pseudo
CXCL3,ENSG00000163734,4,protein-coding
LOC643014,ENSG00000251017,4,pseudo
CXCL2,ENSG00000081041,4,protein-coding
MTHFD2L,ENSG00000163738,4,protein-coding
EPGN,ENSG00000182585,4,protein-coding
EREG,ENSG00000124882,4,protein-coding
AREG,ENSG00000109321,4,protein-coding
BTC,ENSG00000174808,4,protein-coding
PARM1,ENSG00000169116,4,protein-coding
PARM1-AS1,ENSG00000249717,4,ncRNA
LINC02483,ENSG00000251383,4,ncRNA
RCHY1,ENSG00000163743,4,protein-coding
THAP6,ENSG00000174796,4,protein-coding
ODAPH,ENSG00000174792,4,protein-coding
CDKL2,ENSG00000138769,4,protein-coding
G3BP2,ENSG00000138757,4,protein-coding
USO1,ENSG00000138768,4,protein-coding
RNU2-16P,ENSG00000222644,4,pseudo
PPEF2,ENSG00000156194,4,protein-coding
NAAA,ENSG00000138744,4,protein-coding
SDAD1,ENSG00000198301,4,protein-coding
SDAD1-AS1,ENSG00000245928,4,ncRNA
CXCL9,ENSG00000138755,4,protein-coding
ART3,ENSG00000156219,4,protein-coding
CXCL10,ENSG00000169245,4,protein-coding
CXCL11,ENSG00000169248,4,protein-coding
RPL36P8,ENSG00000225846,4,pseudo
NUP54,ENSG00000138750,4,protein-coding
SCARB2,ENSG00000138760,4,protein-coding
FAM47E,ENSG00000189157,4,protein-coding
FAM47E-STBD1,ENSG00000272414,4,protein-coding
STBD1,ENSG00000118804,4,protein-coding
CCDC158,ENSG00000163749,4,protein-coding
SNX5P1,ENSG00000249858,4,pseudo
RNU6-1000P,ENSG00000212368,4,pseudo
RPL36AP18,ENSG00000240426,4,pseudo
LOC124900891,ENSG00000199857,4,snoRNA
SHROOM3,ENSG00000138771,4,protein-coding
RNU6-145P,ENSG00000207307,4,pseudo
MIR4450,ENSG00000263445,4,ncRNA
MIR548AH,ENSG00000283682,4,ncRNA
SOWAHB,ENSG00000186212,4,protein-coding
SEPTIN11,ENSG00000138758,4,protein-coding
CCNI,ENSG00000118816,4,protein-coding
RPL7P17,ENSG00000214062,4,pseudo
LOC339966,ENSG00000271676,4,pseudo
RNU6-1187P,ENSG00000201641,4,pseudo
CCNG2,ENSG00000138764,4,protein-coding
FTLP9,ENSG00000270669,4,pseudo
LOC100421141,ENSG00000250006,4,pseudo
LOC100421142,ENSG00000248831,4,pseudo
CXCL13,ENSG00000156234,4,protein-coding
CNOT6L,ENSG00000138767,4,protein-coding
MRPL1,ENSG00000169288,4,protein-coding
HMGB1P44,ENSG00000248956,4,pseudo
FRAS1,ENSG00000138759,4,protein-coding
ANXA3,ENSG00000138772,4,protein-coding
LOC101928893,ENSG00000251442,4,ncRNA
HIGD1AP13,ENSG00000251019,4,pseudo
BMP2K-DT,ENSG00000260278,4,ncRNA
BMP2K,ENSG00000138756,4,protein-coding
PAQR3,ENSG00000163291,4,protein-coding
RN7SL127P,ENSG00000242175,4,pseudo
NAA11,ENSG00000156269,4,protein-coding
GK2,ENSG00000196475,4,protein-coding
LINC00989,ENSG00000250334,4,ncRNA
OR7E94P,ENSG00000249646,4,pseudo
PCAT4,ENSG00000251321,4,ncRNA
LOC124900174,ENSG00000212620,4,snoRNA
ANTXR2,ENSG00000163297,4,protein-coding
KPNA2P1,ENSG00000236530,4,pseudo
RPSAP39,ENSG00000244002,4,pseudo
PRDM8-AS1,ENSG00000248719,4,ncRNA
PRDM8,ENSG00000152784,4,protein-coding
FGF5,ENSG00000138675,4,protein-coding
CFAP299,ENSG00000197826,4,protein-coding
LOC100419739,ENSG00000232327,4,pseudo
BMP3,ENSG00000152785,4,protein-coding
PRKG2,ENSG00000138669,4,protein-coding
PRKG2-AS1,ENSG00000251059,4,ncRNA
RNU5A-2P,ENSG00000207065,4,pseudo
RASGEF1B,ENSG00000138670,4,protein-coding
MTCYBP44,ENSG00000248282,4,pseudo
RNU6-499P,ENSG00000202485,4,pseudo
HNRNPD,ENSG00000138668,4,protein-coding
LOC124900890,ENSG00000202440,4,snoRNA
HNRNPDL,ENSG00000152795,4,protein-coding
ENOPH1,ENSG00000145293,4,protein-coding
TMEM150C,ENSG00000249242,4,protein-coding
RPL7AP26,ENSG00000214988,4,pseudo
LINC00575,ENSG00000231782,4,ncRNA
SCD5,ENSG00000145284,4,protein-coding
SLC66A2P2,ENSG00000270480,4,pseudo
MIR575,ENSG00000207746,4,ncRNA
SEC31A,ENSG00000138674,4,protein-coding
THAP9-AS1,ENSG00000251022,4,ncRNA
THAP9,ENSG00000168152,4,protein-coding
LIN54,ENSG00000189308,4,protein-coding
RNU6-615P,ENSG00000251874,4,pseudo
COPS4,ENSG00000138663,4,protein-coding
PLAC8,ENSG00000145287,4,protein-coding
LOC391674,ENSG00000248401,4,pseudo
COQ2,ENSG00000173085,4,protein-coding
HPSE,ENSG00000173083,4,protein-coding
C18orf21P1,ENSG00000251647,4,pseudo
HELQ,ENSG00000163312,4,protein-coding
MRPS18C,ENSG00000163319,4,protein-coding
ABRAXAS1,ENSG00000163322,4,protein-coding
RPL30P5,ENSG00000239525,4,pseudo
GPAT3,ENSG00000138678,4,protein-coding
LINC02994,ENSG00000250546,4,ncRNA
RNU6-774P,ENSG00000200108,4,pseudo
LOC152845,ENSG00000214980,4,pseudo
NKX6-1,ENSG00000163623,4,protein-coding
RPL3P13,ENSG00000258013,4,pseudo
CDS1,ENSG00000163624,4,protein-coding
WDFY3,ENSG00000163625,4,protein-coding
RN7SL552P,ENSG00000239466,4,pseudo
WDFY3-AS1,ENSG00000251260,4,ncRNA
RNU6-469P,ENSG00000252062,4,pseudo
WDFY3-AS2,ENSG00000180769,4,ncRNA
RN7SKP48,ENSG00000201901,4,pseudo
ARHGAP24,ENSG00000138639,4,protein-coding
MIR4451,ENSG00000266421,4,ncRNA
MAPK10,ENSG00000109339,4,protein-coding
MAPK10-AS1,ENSG00000250062,4,ncRNA
RN7SKP96,ENSG00000252757,4,pseudo
MIR4452,ENSG00000266515,4,ncRNA
PTPN13,ENSG00000163629,4,protein-coding
SLC10A6,ENSG00000145283,4,protein-coding
RPL6P13,ENSG00000243312,4,pseudo
C4orf36,ENSG00000163633,4,protein-coding
AFF1,ENSG00000172493,4,protein-coding
KLHL8,ENSG00000145332,4,protein-coding
LOC100419572,ENSG00000248196,4,pseudo
MIR5705,ENSG00000263981,4,ncRNA
HSD17B13,ENSG00000170509,4,protein-coding
HSD17B11,ENSG00000198189,4,protein-coding
RN7SL681P,ENSG00000240966,4,pseudo
NUDT9,ENSG00000170502,4,protein-coding
SCPPPQ1,ENSG00000272856,4,protein-coding
SPARCL1,ENSG00000152583,4,protein-coding
DSPP,ENSG00000152591,4,protein-coding
DMP1,ENSG00000152592,4,protein-coding
IBSP,ENSG00000029559,4,protein-coding
MEPE,ENSG00000152595,4,protein-coding
HSP90AB3P,ENSG00000183199,4,pseudo
SPP1,ENSG00000118785,4,protein-coding
RNU1-36P,ENSG00000202000,4,pseudo
PKD2,ENSG00000118762,4,protein-coding
ABCG2,ENSG00000118777,4,protein-coding
RPL31P24,ENSG00000241853,4,pseudo
RNU6-818P,ENSG00000201707,4,pseudo
RNU6ATAC31P,ENSG00000221440,4,pseudo
RNU6-1298P,ENSG00000199326,4,pseudo
PPM1K,ENSG00000163644,4,protein-coding
RNU6-112P,ENSG00000200469,4,pseudo
PPM1K-DT,ENSG00000246375,4,ncRNA
HERC6,ENSG00000138642,4,protein-coding
HERC5,ENSG00000138646,4,protein-coding
PYURF,ENSG00000145337,4,protein-coding
PIGY,ENSG00000255072,4,protein-coding
PIGY-DT,ENSG00000285122,4,ncRNA
RN7SKP244,ENSG00000252322,4,pseudo
HERC3,ENSG00000138641,4,protein-coding
RNU6-33P,ENSG00000207524,4,pseudo
NAP1L5,ENSG00000177432,4,protein-coding
FAM13A,ENSG00000138640,4,protein-coding
TIGD2,ENSG00000180346,4,protein-coding
RNU6-907P,ENSG00000212226,4,pseudo
GPRIN3,ENSG00000185477,4,protein-coding
LOC105377329,ENSG00000251095,4,ncRNA
SNCA,ENSG00000145335,4,protein-coding
SNCA-AS1,ENSG00000247775,4,ncRNA
MMRN1,ENSG00000138722,4,protein-coding
CCSER1,ENSG00000184305,4,protein-coding
RN7SKP248,ENSG00000252087,4,pseudo
KRT19P6,ENSG00000249891,4,pseudo
GRID2,ENSG00000152208,4,protein-coding
MTND1P19,ENSG00000251449,4,pseudo
RACK1P3,ENSG00000249239,4,pseudo
RNA5SP164,ENSG00000252342,4,pseudo
ATOH1,ENSG00000172238,4,protein-coding
SMARCAD1-DT,ENSG00000246541,4,ncRNA
HMGB3P15,ENSG00000250897,4,pseudo
SMARCAD1,ENSG00000163104,4,protein-coding
HPGDS,ENSG00000163106,4,protein-coding
PDLIM5,ENSG00000163110,4,protein-coding
BMPR1B,ENSG00000138696,4,protein-coding
UNC5C,ENSG00000182168,4,protein-coding
RPL30P6,ENSG00000242936,4,pseudo
PDHA2,ENSG00000163114,4,protein-coding
RNU6-1059P,ENSG00000200622,4,pseudo
RNU6-34P,ENSG00000201744,4,pseudo
STPG2,ENSG00000163116,4,protein-coding
STPG2-AS1,ENSG00000251620,4,ncRNA
RPL5P12,ENSG00000242697,4,pseudo
RAP1GDS1,ENSG00000138698,4,protein-coding
RPL21P48,ENSG00000242318,4,pseudo
TSPAN5,ENSG00000168785,4,protein-coding
TSPAN5-DT,ENSG00000260641,4,ncRNA
EIF4E,ENSG00000151247,4,protein-coding
RNU7-149P,ENSG00000252548,4,pseudo
METAP1,ENSG00000164024,4,protein-coding
MIR3684,ENSG00000265213,4,ncRNA
ADH5,ENSG00000197894,4,protein-coding
LOC100507053,ENSG00000246090,4,ncRNA
ADH4,ENSG00000198099,4,protein-coding
ADH6,ENSG00000172955,4,protein-coding
ADH1A,ENSG00000187758,4,protein-coding
ADH1B,ENSG00000196616,4,protein-coding
ADH1C,ENSG00000248144,4,protein-coding
ADH7,ENSG00000196344,4,protein-coding
C4orf17,ENSG00000138813,4,protein-coding
TRMT10A,ENSG00000145331,4,protein-coding
MTTP,ENSG00000138823,4,protein-coding
C4orf54,ENSG00000248713,4,protein-coding
DAPP1,ENSG00000070190,4,protein-coding
LAMTOR3,ENSG00000109270,4,protein-coding
DNAJB14,ENSG00000164031,4,protein-coding
H2AZ1,ENSG00000164032,4,protein-coding
DYNLL1P6,ENSG00000248820,4,pseudo
DDIT4L,ENSG00000145358,4,protein-coding
DDIT4L-AS1,ENSG00000249710,4,ncRNA
EMCN,ENSG00000164035,4,protein-coding
LINC01216,ENSG00000250223,4,ncRNA
LINC01217,ENSG00000251219,4,ncRNA
PPP3CA,ENSG00000138814,4,protein-coding
MIR8066,ENSG00000273882,4,ncRNA
MIR1255A,ENSG00000221265,4,ncRNA
PPP3CA-DT,ENSG00000254531,4,ncRNA
BANK1,ENSG00000153064,4,protein-coding
RNU6-462P,ENSG00000199529,4,pseudo
MTND5P5,ENSG00000251149,4,pseudo
SLC39A8,ENSG00000138821,4,protein-coding
RN7SL728P,ENSG00000241144,4,pseudo
NFKB1,ENSG00000109320,4,protein-coding
MANBA,ENSG00000109323,4,protein-coding
RPL21P49,ENSG00000241981,4,pseudo
LRRC37A15P,ENSG00000230069,4,pseudo
KRT8P46,ENSG00000248971,4,pseudo
UBE2D3,ENSG00000109332,4,protein-coding
RNU7-151P,ENSG00000252739,4,pseudo
CISD2,ENSG00000145354,4,protein-coding
SLC9B1,ENSG00000164037,4,protein-coding
SLC9B2,ENSG00000164038,4,protein-coding
BDH2,ENSG00000164039,4,protein-coding
CENPE,ENSG00000138778,4,protein-coding
TACR3-AS1,ENSG00000251577,4,ncRNA
TACR3,ENSG00000169836,4,protein-coding
RNU6-635P,ENSG00000252460,4,pseudo
LINC02503,ENSG00000249614,4,ncRNA
CXXC4,ENSG00000168772,4,protein-coding
CXXC4-AS1,ENSG00000245384,4,ncRNA
RPL6P14,ENSG00000244470,4,pseudo
RNU6-351P,ENSG00000251906,4,pseudo
LOC100288146,ENSG00000251473,4,pseudo
TET2,ENSG00000168769,4,protein-coding
RN7SL89P,ENSG00000243383,4,pseudo
PPA2,ENSG00000138777,4,protein-coding
RNU6-553P,ENSG00000200917,4,pseudo
ARHGEF38,ENSG00000236699,4,protein-coding
ARHGEF38-IT1,ENSG00000249885,4,ncRNA
INTS12,ENSG00000138785,4,protein-coding
GSTCD,ENSG00000138780,4,protein-coding
GSTCD-AS1,ENSG00000251175,4,ncRNA
NPNT,ENSG00000168743,4,protein-coding
LOC101929577,ENSG00000249635,4,ncRNA
TBCK,ENSG00000145348,4,protein-coding
AIMP1,ENSG00000164022,4,protein-coding
GIMD1,ENSG00000250298,4,protein-coding
LINC02173,ENSG00000249613,4,ncRNA
ACTR6P1,ENSG00000248915,4,pseudo
DKK2,ENSG00000155011,4,protein-coding
LOC102725220,ENSG00000251081,4,ncRNA
RNU6-551P,ENSG00000252470,4,pseudo
PAPSS1,ENSG00000138801,4,protein-coding
SGMS2,ENSG00000164023,4,protein-coding
CYP2U1-AS1,ENSG00000245293,4,ncRNA
RNU6-733P,ENSG00000222691,4,pseudo
CYP2U1,ENSG00000155016,4,protein-coding
HADH,ENSG00000138796,4,protein-coding
LEF1,ENSG00000138795,4,protein-coding
LEF1-AS1,ENSG00000232021,4,ncRNA
RPSAP34,ENSG00000239939,4,pseudo
RPL34-DT,ENSG00000234492,4,ncRNA
RPL34,ENSG00000109475,4,protein-coding
OSTC,ENSG00000198856,4,protein-coding
RNU6-431P,ENSG00000206601,4,pseudo
ETNPPL,ENSG00000164089,4,protein-coding
RCC2P8,ENSG00000250185,4,pseudo
COL25A1,ENSG00000188517,4,protein-coding
COL25A1-DT,ENSG00000246774,4,ncRNA
SEC24B-AS1,ENSG00000247950,4,ncRNA
SEC24B,ENSG00000138802,4,protein-coding
RN7SL55P,ENSG00000243227,4,pseudo
MIR576,ENSG00000207988,4,ncRNA
MCUB,ENSG00000005059,4,protein-coding
CASP6,ENSG00000138794,4,protein-coding
PLA2G12A,ENSG00000123739,4,protein-coding
CFI,ENSG00000205403,4,protein-coding
GAR1-DT,ENSG00000272795,4,ncRNA
GAR1,ENSG00000109534,4,protein-coding
RRH,ENSG00000180245,4,protein-coding
LRIT3,ENSG00000183423,4,protein-coding
KRT19P3,ENSG00000249681,4,pseudo
EGF,ENSG00000138798,4,protein-coding
RNU6-35P,ENSG00000207260,4,pseudo
ELOVL6,ENSG00000170522,4,protein-coding
RN7SL275P,ENSG00000263940,4,pseudo
RNF14P2,ENSG00000250594,4,pseudo
RNU6-205P,ENSG00000212160,4,pseudo
ENPEP,ENSG00000138792,4,protein-coding
ZNF969P,ENSG00000251046,4,pseudo
LOC124900892,ENSG00000199894,4,snoRNA
PITX2,ENSG00000164093,4,protein-coding
MIR297,ENSG00000215961,4,ncRNA
RNU6-289P,ENSG00000200963,4,pseudo
RPL36AP23,ENSG00000241722,4,pseudo
LOC105377366,ENSG00000248656,4,ncRNA
LINC02945,ENSG00000249815,4,ncRNA
CCDC34P1,ENSG00000250556,4,pseudo
TUBB8P3,ENSG00000250307,4,pseudo
FAM241A,ENSG00000174749,4,protein-coding
AP1AR,ENSG00000138660,4,protein-coding
TIFA,ENSG00000145365,4,protein-coding
ALPK1,ENSG00000073331,4,protein-coding
RTEL1P1,ENSG00000251441,4,pseudo
TOX4P1,ENSG00000248697,4,pseudo
NEUROG2,ENSG00000178403,4,protein-coding
NEUROG2-AS1,ENSG00000249509,4,ncRNA
RPL23AP94,ENSG00000248439,4,pseudo
ZGRF1,ENSG00000138658,4,protein-coding
LARP7,ENSG00000174720,4,protein-coding
MIR302CHG,ENSG00000249532,4,ncRNA
MIR367,ENSG00000199169,4,ncRNA
MIR302D,ENSG00000199145,4,ncRNA
MIR302A,ENSG00000207927,4,ncRNA
MIR302C,ENSG00000199102,4,ncRNA
MIR302B,ENSG00000284463,4,ncRNA
GET1P1,ENSG00000248633,4,pseudo
RPL32P13,ENSG00000241002,4,pseudo
RPL7AP30,ENSG00000241741,4,pseudo
ANK2,ENSG00000145362,4,protein-coding
LOC100422627,ENSG00000234841,4,pseudo
LOC102723896,ENSG00000251126,4,ncRNA
ANK2-AS1,ENSG00000248152,4,ncRNA
MIR1243,ENSG00000283193,4,ncRNA
MIR8082,ENSG00000275810,4,ncRNA
RN7SL184P,ENSG00000239279,4,pseudo
RNU1-138P,ENSG00000206820,4,pseudo
CAMK2D,ENSG00000145349,4,protein-coding
ARSJ,ENSG00000180801,4,protein-coding
UGT8,ENSG00000174607,4,protein-coding
MIR577,ENSG00000207931,4,ncRNA
CIR1P2,ENSG00000250215,4,pseudo
RN7SL808P,ENSG00000240637,4,pseudo
NDST4,ENSG00000138653,4,protein-coding
RPF2P2,ENSG00000250693,4,pseudo
PGAM4P2,ENSG00000248488,4,pseudo
KRT18P21,ENSG00000250363,4,pseudo
EIF3KP3,ENSG00000250442,4,pseudo
TTC39CP1,ENSG00000250627,4,pseudo
MIR1973,ENSG00000284253,4,ncRNA
ACTN4P1,ENSG00000213493,4,pseudo
RNU6-119P,ENSG00000201752,4,pseudo
HAVCR1P2,ENSG00000271053,4,pseudo
TRAM1L1,ENSG00000174599,4,protein-coding
LINC02262,ENSG00000224932,4,ncRNA
LINC02263,ENSG00000236922,4,ncRNA
RPSAP35,ENSG00000237684,4,pseudo
LINC02264,ENSG00000229565,4,ncRNA
NDST3,ENSG00000164100,4,protein-coding
SNHG8,ENSG00000269893,4,ncRNA
SNORA24,ENSG00000275994,4,snoRNA
PRSS12,ENSG00000164099,4,protein-coding
RNU6-1054P,ENSG00000223225,4,pseudo
METTL14-DT,ENSG00000281731,4,ncRNA
METTL14,ENSG00000145388,4,protein-coding
SEC24D,ENSG00000150961,4,protein-coding
SYNPO2,ENSG00000172403,4,protein-coding
MYOZ2,ENSG00000172399,4,protein-coding
USP53,ENSG00000145390,4,protein-coding
ARLN,ENSG00000164096,4,protein-coding
FABP2,ENSG00000145384,4,protein-coding
KLHL2P1,ENSG00000250412,4,pseudo
RNU4-33P,ENSG00000201186,4,pseudo
RNU6-1217P,ENSG00000223208,4,pseudo
PDE5A,ENSG00000138735,4,protein-coding
LOC124900187,ENSG00000221245,4,snoRNA
LINC01365,ENSG00000250772,4,ncRNA
LINC02502,ENSG00000250392,4,ncRNA
MAD2L1,ENSG00000164109,4,protein-coding
LTV1P1,ENSG00000250219,4,pseudo
PRDM5,ENSG00000138738,4,protein-coding
RNU6-550P,ENSG00000212359,4,pseudo
NDNF,ENSG00000173376,4,protein-coding
TNIP3,ENSG00000050730,4,protein-coding
RNU6-948P,ENSG00000252183,4,pseudo
QRFPR,ENSG00000186867,4,protein-coding
KIAA1191P1,ENSG00000213480,4,pseudo
TUBB4BP5,ENSG00000224062,4,pseudo
ANXA5,ENSG00000164111,4,protein-coding
SMIM43,ENSG00000164112,4,protein-coding
PP12613,ENSG00000226757,4,ncRNA
EXOSC9,ENSG00000123737,4,protein-coding
CCNA2,ENSG00000145386,4,protein-coding
BBS7,ENSG00000138686,4,protein-coding
BBS7-DT,ENSG00000261501,4,ncRNA
TRPC3,ENSG00000138741,4,protein-coding
RN7SL335P,ENSG00000241037,4,pseudo
BLTP1,ENSG00000138688,4,protein-coding
ADAD1,ENSG00000164113,4,protein-coding
IL2,ENSG00000109471,4,protein-coding
IL21,ENSG00000138684,4,protein-coding
IL21-AS1,ENSG00000227145,4,ncRNA
BBS12,ENSG00000181004,4,protein-coding
RPL34P12,ENSG00000244083,4,pseudo
FGF2,ENSG00000138685,4,protein-coding
RPS26P23,ENSG00000240775,4,pseudo
NUDT6,ENSG00000170917,4,protein-coding
AFG2A,ENSG00000145375,4,protein-coding
SPRY1,ENSG00000164056,4,protein-coding
LINC01091,ENSG00000249464,4,ncRNA
LOC124900775,ENSG00000226655,4,ncRNA
RPL21P50,ENSG00000228489,4,pseudo
PPIAP76,ENSG00000250484,4,pseudo
TUBAP10,ENSG00000248506,4,pseudo
TECRP2,ENSG00000248565,4,pseudo
LINC02516,ENSG00000261083,4,ncRNA
ANKRD50,ENSG00000151458,4,protein-coding
FAT4,ENSG00000196159,4,protein-coding
MIR2054,ENSG00000283550,4,ncRNA
TMEM248P1,ENSG00000249555,4,pseudo
LINC02379,ENSG00000251649,4,ncRNA
H3P15,ENSG00000251005,4,pseudo
INTU,ENSG00000164066,4,protein-coding
SLC25A31,ENSG00000151475,4,protein-coding
HSPA4L,ENSG00000164070,4,protein-coding
RPL21P53,ENSG00000244021,4,pseudo
PLK4,ENSG00000142731,4,protein-coding
RNU6-583P,ENSG00000251821,4,pseudo
MFSD8,ENSG00000164073,4,protein-coding
ABHD18,ENSG00000164074,4,protein-coding
LARP1B,ENSG00000138709,4,protein-coding
PGRMC2,ENSG00000164040,4,protein-coding
LINC02615,ENSG00000251432,4,ncRNA
LOC101927259,ENSG00000273077,4,ncRNA
LINC03140,ENSG00000248187,4,ncRNA
JADE1,ENSG00000077684,4,protein-coding
SCLT1,ENSG00000151466,4,protein-coding
C4orf33,ENSG00000151470,4,protein-coding
LINC02466,ENSG00000246876,4,ncRNA
LINC02465,ENSG00000249618,4,ncRNA
EEF1GP8,ENSG00000234125,4,pseudo
PGBD4P4,ENSG00000248877,4,pseudo
GAPDHP56,ENSG00000249018,4,pseudo
RNU6-224P,ENSG00000206782,4,pseudo
LINC02377,ENSG00000250102,4,ncRNA
RN7SL205P,ENSG00000241392,4,pseudo
LOC124900177,ENSG00000252014,4,pseudo
SNHG27,ENSG00000251676,4,ncRNA
RPL7AP28,ENSG00000184139,4,pseudo
ELL2P2,ENSG00000251051,4,pseudo
LINC01256,ENSG00000251398,4,ncRNA
AARS1P1,ENSG00000249038,4,pseudo
PCDH10-DT,ENSG00000250241,4,ncRNA
R3HDM2P1,ENSG00000248735,4,pseudo
PCDH10,ENSG00000138650,4,protein-coding
PABPC4L,ENSG00000254535,4,protein-coding
PES1P1,ENSG00000248191,4,pseudo
LOC105377438,ENSG00000249847,4,ncRNA
LOC107986237,ENSG00000251228,4,pseudo
EEF1A1P35,ENSG00000250144,4,pseudo
LOC124900883,ENSG00000283432,4,snRNA
KRT18P54,ENSG00000250834,4,pseudo
TARS2P1,ENSG00000248104,4,pseudo
LINC00613,ENSG00000248330,4,ncRNA
RNU1-89P,ENSG00000207322,4,pseudo
LINC02511,ENSG00000248869,4,ncRNA
SERF1AP1,ENSG00000250813,4,pseudo
RPS23P2,ENSG00000213448,4,pseudo
PCDH18,ENSG00000189184,4,protein-coding
LINC02172,ENSG00000251632,4,ncRNA
LOC101927414,ENSG00000250126,4,ncRNA
LINC00616,ENSG00000248307,4,ncRNA
SLC7A11-AS1,ENSG00000250033,4,ncRNA
SLC7A11,ENSG00000151012,4,protein-coding
LINC00499,ENSG00000251372,4,ncRNA
NOCT,ENSG00000151014,4,protein-coding
ELF2,ENSG00000109381,4,protein-coding
RNU6-531P,ENSG00000252503,4,pseudo
RN7SL382P,ENSG00000240723,4,pseudo
RN7SL311P,ENSG00000265892,4,pseudo
RNU6-506P,ENSG00000252362,4,pseudo
RNU6-1074P,ENSG00000206722,4,pseudo
MGARP,ENSG00000137463,4,protein-coding
NDUFC1,ENSG00000109390,4,protein-coding
NAA15,ENSG00000164134,4,protein-coding
RNU6-1214P,ENSG00000200520,4,pseudo
RAB33B-AS1,ENSG00000273247,4,ncRNA
LOC124900188,ENSG00000239005,4,snoRNA
RAB33B,ENSG00000172007,4,protein-coding
SETD7,ENSG00000145391,4,protein-coding
MGST2,ENSG00000085871,4,protein-coding
MAML3,ENSG00000196782,4,protein-coding
RN7SKP253,ENSG00000252233,4,pseudo
SCOC,ENSG00000153130,4,protein-coding
SCOC-AS1,ENSG00000196951,4,ncRNA
NDUFB4P9,ENSG00000249754,4,pseudo
RPL14P3,ENSG00000241923,4,pseudo
CLGN,ENSG00000153132,4,protein-coding
MGAT4D,ENSG00000205301,4,protein-coding
ELMOD2,ENSG00000179387,4,protein-coding
UCP1,ENSG00000109424,4,protein-coding
RN7SL152P,ENSG00000242102,4,pseudo
TBC1D9,ENSG00000109436,4,protein-coding
RNY1P14,ENSG00000207155,4,pseudo
LOC124900787,ENSG00000248335,4,ncRNA
RNF150,ENSG00000170153,4,protein-coding
ZNF330,ENSG00000109445,4,protein-coding
LINC02432,ENSG00000248810,4,ncRNA
LINC02276,ENSG00000250141,4,ncRNA
IL15,ENSG00000164136,4,protein-coding
INPP4B,ENSG00000109452,4,protein-coding
RPL5P13,ENSG00000242134,4,pseudo
USP38-DT,ENSG00000250326,4,ncRNA
LOC100287014,ENSG00000251300,4,pseudo
USP38,ENSG00000170185,4,protein-coding
GAB1,ENSG00000109458,4,protein-coding
MIR3139,ENSG00000265623,4,ncRNA
RPS2P20,ENSG00000228981,4,pseudo
RPSAP36,ENSG00000243175,4,pseudo
SMARCA5,ENSG00000153147,4,protein-coding
GUSBP5,ENSG00000251600,4,pseudo
FREM3,ENSG00000183090,4,protein-coding
LOC100419356,ENSG00000250345,4,pseudo
GYPE,ENSG00000197465,4,protein-coding
GYPB,ENSG00000250361,4,protein-coding
GYPA,ENSG00000170180,4,protein-coding
KRT18P51,ENSG00000250504,4,pseudo
HHIP-AS1,ENSG00000248890,4,ncRNA
HHIP,ENSG00000164161,4,protein-coding
ANAPC10,ENSG00000164162,4,protein-coding
HSPD1P5,ENSG00000249193,4,pseudo
LOC124900792,ENSG00000250406,4,ncRNA
RN7SKP235,ENSG00000222594,4,pseudo
ABCE1,ENSG00000164163,4,protein-coding
